Sending interval between packets: Constant
Destination host IP address: 192.168.1.124
Destination port number: 1234
Number of UDP packets to transmit: 250
Size of each UDP packet: 50 Byte
Value of ToS/DSCP field in IP header: 0
Interval between sending packets: 20 ms

Opening socket
Sockets are open with sender ToS/DSCP set to 0
Starting to send
SeqNr 	 SendTime 	 ServerTime 	 ReceiveTime 	 Client->Server 	 Server->Client 	 RTT (all times in ns)
0;1741855722525211904;1741855722531714304;1741855722532912640;6502400;1198336;7700736
211	1741855726745240064 lost
212	1741855726765240320 lost
213	1741855726785241344 lost
214	1741855726805241344 lost
215	1741855726825241600 lost
216	1741855726845242112 lost
217	1741855726865242368 lost
218	1741855726885243136 lost
219	1741855726905242880 lost
220	1741855726925243392 lost
221	1741855726945243904 lost
222	1741855726965244416 lost
223	1741855726985244928 lost
224	1741855727005245440 lost
225	1741855727025245696 lost
226	1741855727045246208 lost
227	1741855727065246464 lost
228	1741855727085246464 lost
229	1741855727105246720 lost
230	1741855727125247232 lost
231	1741855727145247744 lost
232	1741855727165248000 lost
233	1741855727185248512 lost
234	1741855727205248512 lost
235	1741855727225248512 lost
236	1741855727245249280 lost
237	1741855727265249792 lost
238	1741855727285249792 lost
239	1741855727305250048 lost
240	1741855727325250304 lost
241	1741855727345250816 lost
242	1741855727365250560 lost
243	1741855727385250560 lost
244	1741855727405250560 lost
245	1741855727425250560 lost
246	1741855727445251328 lost
247	1741855727465251840 lost
248	1741855727485251840 lost
249	1741855727505252352 lost
200 out of 250 lost
